protein,biome,cluster
MGYP000586730159,unknown,95
MGYP006188855139,unknown,95
MGYP003565229411,unknown,95
MGYP003573663304,unknown,95
MGYP000932384873,unknown,95
MGYP005840995107,unknown,95
MGYP001213128102,unknown,95
MGYP000858375996,unknown,95
MGYP001446008014,unknown,814
MGYP005636189859,unknown,815
MGYP001236609487,unknown,816
MGYP005632620065,unknown,817
MGYP001296074691,unknown,817
MGYP001200166112,unknown,817
MGYP006089921201,unknown,818
MGYP000983655381,unknown,818
MGYP006144661135,unknown,817
MGYP000880983540,unknown,819
MGYP000041657224,unknown,819
MGYP001431305429,unknown,582
MGYP000277752244,unknown,265
MGYP001999369185,unknown,820
MGYP005816352167,unknown,265
MGYP004460294889,unknown,243
MGYP002646378394,unknown,821
MGYP001529744292,unknown,822
MGYP000174738846,unknown,822
MGYP000865533809,unknown,822
MGYP003214631870,unknown,823
MGYP000934229115,unknown,824
MGYP001305340142,unknown,824
MGYP002515077654,unknown,825
MGYP000817512509,unknown,825
MGYP003074349398,unknown,826
MGYP002048886470,unknown,827
MGYP003050679708,unknown,828
MGYP000307271845,unknown,396
MGYP003417638955,unknown,829
MGYP000380167148,unknown,830
MGYP000445893424,unknown,831
MGYP001463508161,unknown,661
MGYP000558087962,unknown,661
MGYP001486671341,unknown,832
MGYP003467037455,unknown,833
MGYP002717871669,unknown,834
MGYP003345814204,unknown,835
MGYP006299707721,unknown,836
MGYP000268527684,unknown,837
MGYP000569891062,unknown,837
MGYP001033663774,unknown,67
MGYP000426013463,unknown,67
MGYP003474898624,unknown,67
MGYP005799709849,unknown,67
MGYP002141245743,unknown,67
MGYP003590561882,unknown,838
MGYP000945625955,unknown,839
MGYP002552746462,unknown,840
MGYP002572717586,unknown,841
MGYP001176954252,unknown,842
MGYP004418875573,unknown,843
MGYP003601173392,unknown,344
MGYP001583122999,unknown,344
MGYP000418587051,unknown,844
MGYP003487984688,unknown,845
MGYP000963775510,unknown,846
MGYP000520694780,unknown,847
MGYP003407306221,unknown,848
MGYP002789794746,unknown,849
MGYP001045737373,unknown,850
MGYP000477553657,unknown,603
MGYP001171683346,unknown,603
MGYP001409805197,unknown,603
MGYP006275629885,unknown,603
MGYP000849092959,unknown,603
MGYP000933891741,unknown,603
MGYP000642857338,unknown,604
MGYP003159930528,unknown,603
MGYP006083109691,unknown,851
MGYP006260391815,unknown,852
MGYP001177758743,unknown,853
MGYP002585578476,unknown,246
MGYP000757867350,unknown,246
MGYP000473580349,unknown,643
MGYP003061972744,unknown,643
MGYP004445515183,unknown,643
MGYP000802636089,unknown,854
MGYP001661134034,unknown,644
MGYP000649622342,unknown,854
MGYP000790509180,unknown,854
MGYP004474048983,unknown,275
MGYP005945122333,unknown,854
MGYP002639368568,unknown,854
MGYP001213311083,unknown,854
MGYP000162752892,unknown,855
MGYP003073477161,unknown,856
MGYP001563782229,unknown,857
MGYP000846587488,unknown,858
MGYP002609916866,unknown,858
MGYP005804509529,unknown,858
MGYP000824651480,unknown,859
MGYP002611370151,unknown,860
MGYP003536016657,unknown,861
MGYP002769559935,unknown,862
MGYP002517051456,root:Host-associated:Mammals:Digestive system,862
MGYP001739094528,unknown,862
MGYP002602603912,unknown,862
MGYP003328310030,unknown,863
MGYP000170251994,unknown,864
MGYP001067560642,unknown,865
MGYP002558050395,unknown,866
MGYP002786682950,unknown,867
MGYP002777817438,unknown,867
MGYP001440910267,unknown,867
MGYP000680972929,unknown,868
MGYP002413308470,unknown,869
MGYP003621490115,unknown,870
MGYP000265202718,unknown,871
MGYP001180430234,unknown,872
MGYP003556620553,unknown,873
MGYP003408034562,unknown,873
MGYP006051199691,unknown,873
MGYP000159950979,unknown,873
MGYP001463008635,unknown,873
MGYP003460347260,unknown,874
MGYP001452595821,unknown,875
MGYP005716582931,unknown,765
MGYP002301359541,unknown,876
MGYP001580702619,unknown,877
MGYP003531774385,unknown,878
MGYP001502520696,unknown,610
MGYP000637829602,unknown,879
MGYP000759921190,unknown,880
MGYP000763901634,unknown,881
MGYP001531369765,unknown,882
MGYP001286326589,unknown,883
MGYP003373949111,unknown,884
MGYP004523216377,unknown,885
MGYP000929221405,unknown,886
MGYP002604987850,unknown,887
MGYP003198169917,unknown,888
MGYP002723404648,unknown,889
MGYP002768136879,unknown,890
MGYP000723930061,unknown,890
MGYP000222901635,unknown,891
MGYP000811870025,unknown,892
MGYP000915222423,unknown,893
MGYP001395176633,unknown,894
MGYP000137218563,unknown,895
MGYP001336724982,unknown,896
MGYP001584498417,unknown,896
MGYP001405651766,unknown,897
MGYP003600032307,unknown,898
MGYP000460887923,unknown,899
MGYP003324880100,unknown,900
MGYP006291318131,unknown,901
MGYP000122170629,unknown,902
MGYP003637556321,unknown,903
MGYP002759933173,unknown,904
MGYP003688109901,unknown,905
MGYP000724084051,unknown,906
MGYP001357364613,unknown,907
MGYP001487180273,unknown,908
MGYP001389089054,unknown,909
MGYP001282803371,unknown,910
MGYP001185234076,unknown,910
MGYP000354409984,unknown,911
MGYP006452163235,unknown,912
MGYP006375424597,unknown,913
MGYP000961472109,unknown,613
MGYP001266375107,unknown,613
MGYP000110822826,unknown,613
MGYP000649438790,unknown,613
MGYP001452468849,unknown,613
MGYP002633315227,unknown,613
MGYP003936066535,unknown,613
MGYP003326391952,unknown,914
MGYP001383492312,unknown,613
MGYP001450916109,unknown,613
MGYP001282877034,unknown,613
MGYP004495333121,unknown,613
MGYP001110413159,unknown,915
MGYP004636737401,unknown,915
MGYP000837799147,unknown,915
MGYP000400089916,unknown,915
MGYP000351756259,unknown,915
MGYP003379510473,unknown,915
MGYP006395412615,unknown,915
MGYP003575578256,unknown,916
MGYP001626170581,unknown,917
MGYP000140210978,unknown,918
MGYP001569615241,unknown,919
MGYP004659795931,unknown,920
MGYP000236510192,unknown,920
MGYP001445736855,unknown,921
MGYP001197543404,unknown,921
MGYP000570385213,unknown,921
MGYP001204560957,unknown,921
MGYP003478536109,unknown,921
MGYP000683280333,unknown,921
MGYP002684202982,unknown,921
MGYP001016976713,unknown,921
MGYP005802204233,unknown,922
MGYP001152670843,unknown,923
MGYP002625822099,unknown,924
MGYP002512429639,unknown,924
MGYP001027615158,unknown,924
MGYP001440892082,unknown,924
MGYP001324292718,unknown,925
MGYP003307155267,unknown,925
MGYP000511908613,unknown,925
MGYP003086523709,unknown,925
MGYP000447256440,unknown,603
MGYP002793861695,unknown,926
MGYP005731246509,unknown,927
MGYP001136822392,unknown,928
MGYP002707176062,unknown,929
MGYP003308492990,unknown,930
MGYP002656505996,unknown,930
MGYP001340462748,unknown,931
MGYP000747626099,unknown,932
MGYP003611472216,unknown,932
MGYP001739169222,unknown,933
MGYP003267708014,unknown,934
MGYP002555075277,unknown,935
MGYP001377631058,unknown,936
MGYP001105272757,unknown,937
MGYP001213219289,unknown,937
MGYP001742202667,unknown,937
MGYP000861372851,unknown,937
MGYP004687670861,unknown,937
MGYP003057518862,unknown,938
MGYP004686691357,unknown,13
MGYP001247254234,unknown,13
MGYP005759868741,unknown,13
MGYP001560043054,unknown,13
MGYP000921326168,unknown,13
MGYP001460413294,unknown,13
MGYP002662608583,unknown,13
MGYP000659048867,unknown,13
MGYP000685719595,unknown,939
MGYP006169746853,unknown,939
MGYP004654270053,unknown,939
MGYP001199881185,unknown,200
MGYP001430753120,unknown,200
MGYP001414588279,unknown,940
MGYP002583524416,unknown,636
MGYP000548617794,unknown,636
MGYP000829361234,unknown,636
MGYP000397555795,unknown,636
MGYP002241508953,unknown,636
MGYP000013576123,unknown,636
MGYP000531439649,unknown,941
MGYP003300241855,unknown,942
MGYP000810960565,unknown,245
MGYP005835519519,unknown,245
MGYP000869202899,unknown,943
MGYP002750584425,unknown,854
MGYP000721300081,unknown,944
MGYP000630310565,unknown,944
MGYP000130485486,unknown,944
MGYP004716500617,unknown,854
MGYP000018288915,unknown,945
MGYP003231783832,unknown,946
MGYP004540287285,unknown,947
MGYP000347045498,unknown,948
MGYP000447272525,unknown,949
MGYP000780222339,unknown,950
MGYP000801292513,unknown,950
MGYP003514724450,unknown,950
MGYP004531029891,unknown,950
MGYP003994037059,unknown,951
MGYP006256489961,unknown,952
MGYP006130962071,unknown,953
MGYP006247560289,unknown,954
MGYP001294988930,unknown,955
MGYP002546530845,unknown,956
MGYP000499744994,unknown,956
MGYP000767319026,unknown,354
MGYP001097585727,unknown,354
MGYP001589252305,unknown,354
MGYP000838336064,unknown,354
MGYP000100822244,unknown,354
MGYP005931365567,unknown,354
MGYP001632704031,unknown,354
MGYP002989130760,unknown,957
MGYP003449617986,unknown,958
MGYP001174427373,unknown,959
MGYP003430313884,unknown,960
MGYP003484866995,unknown,960
MGYP000271958724,unknown,961
MGYP002802211018,unknown,962
MGYP003186386296,unknown,963
MGYP000269191458,unknown,963
MGYP006077101491,unknown,476
MGYP001303038046,unknown,476
MGYP001657906162,unknown,476
MGYP006079441683,unknown,476
MGYP002853406077,unknown,964
MGYP000296994409,unknown,965
MGYP000746809830,unknown,477
MGYP004551954943,unknown,966
MGYP000993992299,unknown,477
MGYP001317085458,unknown,967
MGYP003343512319,unknown,968
MGYP002552620478,unknown,969
MGYP001356539442,unknown,970
MGYP002772600712,unknown,971
MGYP001146286420,unknown,972
MGYP003619601106,unknown,973
MGYP003318260428,unknown,973
MGYP005923710145,unknown,973
MGYP002646942991,unknown,974
MGYP003560902880,unknown,974
MGYP004554510253,unknown,974
MGYP001469819910,unknown,975
MGYP001308803119,unknown,975
MGYP004477230995,unknown,976
MGYP001549143264,unknown,977
MGYP001051119893,unknown,978
MGYP003343113845,unknown,979
MGYP001105794604,unknown,265
MGYP002572753069,unknown,265
MGYP000781017990,unknown,265
MGYP002747666767,unknown,265
MGYP001791041330,unknown,265
MGYP000666979489,unknown,243
MGYP002582395822,unknown,265
MGYP000466024593,unknown,980
MGYP000442935495,unknown,980
MGYP004646412327,unknown,246
MGYP000178852111,unknown,246
MGYP004597713835,unknown,246
MGYP000893922707,unknown,246
MGYP000921702374,unknown,981
MGYP003394934073,unknown,981
MGYP003595728944,unknown,982
MGYP001468226884,unknown,983
MGYP006359768853,unknown,984
MGYP002630611354,unknown,985
MGYP004733379683,unknown,986
MGYP001207954327,unknown,987
MGYP006339787337,unknown,987
MGYP001136180340,unknown,988
MGYP002072993478,unknown,989
MGYP001312852856,unknown,990
MGYP000868832510,unknown,535
MGYP003347365783,unknown,991
MGYP000929926029,unknown,992
MGYP001516034920,unknown,993
MGYP003325089381,unknown,993
MGYP001364063637,unknown,993
MGYP005821184067,unknown,994
MGYP000841198297,unknown,995
MGYP001333737462,unknown,996
MGYP003154417422,unknown,997
MGYP001526803148,unknown,998
MGYP004484935703,unknown,998
MGYP003267767129,unknown,999
MGYP000744846695,unknown,999
MGYP001283604585,unknown,1000
MGYP001776560522,unknown,1001
MGYP002579945801,unknown,1001
MGYP001379976276,unknown,1002
MGYP006347454189,unknown,1003
MGYP000909708559,unknown,1004
MGYP000345468684,unknown,1004
MGYP003992562013,unknown,1005
MGYP001589018016,unknown,1006
MGYP000119510463,unknown,1007
MGYP001050516391,unknown,1008
MGYP000333888644,unknown,1009
MGYP000471981367,unknown,1010
MGYP001009022113,unknown,1010
MGYP002545319915,unknown,1011
MGYP002538556751,unknown,1011
MGYP005981014409,unknown,1012
MGYP003597997211,unknown,1013
MGYP000864830304,unknown,1014
MGYP001037081253,unknown,1015
MGYP001481292328,unknown,1016
MGYP001171416048,unknown,105
MGYP005974209379,unknown,105
MGYP001036356691,unknown,1017
MGYP001741213759,unknown,1018
MGYP001410341026,unknown,1018
MGYP006216416699,unknown,1019
MGYP006218366615,unknown,1019
MGYP000458278564,unknown,13
MGYP004563632807,unknown,13
MGYP001248667042,unknown,13
MGYP001493928221,unknown,13
MGYP002525394637,unknown,13
MGYP000821690724,unknown,13
MGYP003425469296,unknown,1020
MGYP002614861146,unknown,13
MGYP001101030581,unknown,1021
MGYP006050402341,unknown,1022
MGYP003164473523,unknown,1022
MGYP001584721352,unknown,1023
MGYP003181825299,unknown,1024
MGYP001122300722,unknown,1024
MGYP003366991671,unknown,1024
MGYP003615500597,unknown,1024
MGYP000458264107,unknown,1025
MGYP002724632133,unknown,1026
MGYP000672225562,unknown,1026
MGYP000783678402,unknown,1026
MGYP000874573722,unknown,435
MGYP000977241720,unknown,1027
MGYP001172234951,unknown,1028
MGYP000156961878,unknown,1029
MGYP000014671972,unknown,13
MGYP003425620666,unknown,423
MGYP001578643172,unknown,423
MGYP002622364274,unknown,1030
MGYP001300464983,unknown,1031
MGYP001507618143,unknown,1032
MGYP000656184892,unknown,1032
MGYP000881579422,unknown,1032
MGYP001563788727,unknown,1032
MGYP001591923980,unknown,1032
MGYP003596819070,unknown,1033
MGYP000769140300,unknown,1033
MGYP000311637534,unknown,1033
MGYP000457089393,unknown,1034
MGYP000637793212,unknown,1034
MGYP001776165756,unknown,1034
MGYP003112844947,unknown,1035
MGYP001358518379,unknown,1035
MGYP004732193533,unknown,1036
MGYP003947147489,unknown,1036
MGYP002717795159,unknown,1036
MGYP000987816816,unknown,1037
MGYP004590253031,unknown,1037
MGYP000440064892,unknown,1037
MGYP000825357692,unknown,1037
MGYP001312412823,unknown,1037
MGYP003507966695,unknown,1037
MGYP000068388654,unknown,1038
MGYP002622231581,unknown,397
MGYP001080154191,unknown,397
MGYP001955517409,unknown,397
MGYP000772145420,unknown,397
MGYP003090335245,unknown,397
MGYP001183919621,unknown,397
MGYP003303365889,unknown,397
MGYP001413644069,unknown,397
MGYP003245389161,unknown,397
MGYP006099040219,unknown,397
MGYP003289101747,unknown,397
MGYP003300188263,unknown,397
MGYP006335068591,unknown,1039
MGYP000738301087,unknown,31
MGYP002589285302,unknown,31
MGYP003999397147,unknown,973
MGYP001553856023,unknown,973
MGYP002626785689,unknown,973
MGYP003457282493,unknown,973
MGYP001380533903,unknown,973
MGYP005716144323,unknown,973
MGYP001040576111,unknown,1040
MGYP005633722379,unknown,1041
MGYP000266664187,unknown,1041
MGYP000066835952,unknown,1042
MGYP001490245999,unknown,732
MGYP005842608575,unknown,62
MGYP006205388521,unknown,1043
MGYP000872161301,unknown,1044
MGYP001465983189,unknown,1045
MGYP001128389646,unknown,1046
MGYP001198905810,unknown,1045
MGYP000466448910,root:Host-associated:Human:Digestive system:Large intestine:Fecal,1047
MGYP001475140598,unknown,1048
MGYP003504960930,unknown,1049
MGYP000609980389,unknown,1050
MGYP000906710897,unknown,1050
MGYP000889713544,unknown,477
MGYP003701266191,unknown,1051
MGYP001756695751,unknown,1052
MGYP003316238754,unknown,1053
MGYP001807844644,unknown,1054
MGYP006383151857,unknown,1055
MGYP002783113609,unknown,1056
MGYP003219849954,unknown,1056
MGYP000037112059,unknown,1057
MGYP003392876535,unknown,1058
MGYP006782305045,unknown,1059
MGYP001343767976,unknown,1060
MGYP000730207096,unknown,1061
MGYP003157687676,unknown,1062
MGYP000800526487,unknown,1062
MGYP002483953981,unknown,1063
MGYP000714263650,unknown,1063
MGYP000453102777,unknown,1063
MGYP001249892355,unknown,1063
MGYP000614021289,unknown,1063
MGYP004727316357,unknown,1063
MGYP003520953836,unknown,1063
MGYP004567310477,unknown,1063
MGYP001482686427,unknown,1064
MGYP000111656818,unknown,1065
MGYP003078317658,unknown,1066
MGYP000621474381,unknown,1067
MGYP000482715192,unknown,1068
MGYP003545178251,unknown,299
MGYP000570661747,unknown,1069
MGYP003182467699,unknown,1070
MGYP000332934457,unknown,1071
MGYP001117261886,unknown,1072
MGYP004539333223,unknown,1073
MGYP001035043727,unknown,1073
MGYP002605571674,unknown,1074
MGYP003540557275,unknown,1075
MGYP005697558699,unknown,1076
MGYP000218190782,unknown,1077
MGYP001120840398,unknown,13
MGYP003326033703,unknown,1078
MGYP006237722255,unknown,1079
MGYP002701134658,unknown,1079
MGYP005679397317,unknown,1079
MGYP001171621620,unknown,1080
MGYP001074213730,unknown,423
MGYP003300716090,unknown,423
MGYP003457307606,unknown,423
MGYP006413438047,unknown,423
MGYP000633940671,unknown,423
MGYP005681348903,unknown,423
MGYP000419359040,unknown,1081
MGYP002680090387,unknown,1082
MGYP000038990992,unknown,27
MGYP001386770337,unknown,1083
MGYP001513510439,unknown,1084
MGYP000010246689,unknown,1085
MGYP000983172282,unknown,1085
MGYP000231812413,unknown,1086
MGYP001222641530,unknown,1087
MGYP001210735684,unknown,1087
MGYP000182445994,unknown,1088
MGYP003300620333,unknown,1089
MGYP000946023591,unknown,1090
MGYP000967338759,unknown,1091
MGYP003920134021,unknown,1092
MGYP000918497892,unknown,1093
MGYP000957130655,unknown,1094
MGYP002065597431,unknown,1095
MGYP000807821738,unknown,1096
MGYP002802358722,unknown,1097
MGYP000237473059,unknown,1097
MGYP005701961635,unknown,1097
MGYP006356049399,unknown,1097
MGYP001157439325,unknown,1097
MGYP003827781679,unknown,1097
MGYP003918382093,unknown,1097
MGYP000457176840,unknown,1097
MGYP000397336686,unknown,1097
MGYP000386322886,unknown,1097
MGYP001245194959,unknown,1097
MGYP001812268335,unknown,1097
MGYP005619455313,unknown,1097
MGYP000214242178,unknown,1097
MGYP000028302011,unknown,1097
MGYP004682159523,unknown,1098
MGYP002625203750,unknown,1099
MGYP000855294721,unknown,1100
MGYP000358574571,unknown,1101
MGYP000059485920,unknown,1101
MGYP002786692875,unknown,1102
MGYP006234141427,unknown,62
MGYP000868568607,unknown,62
MGYP002731279951,unknown,1103
MGYP001115466903,unknown,1103
MGYP002801992753,unknown,1103
MGYP000433097318,unknown,1104
MGYP000420741276,unknown,1105
MGYP006187954611,unknown,1106
MGYP000726182050,unknown,1107
MGYP003315261912,unknown,1107
MGYP002764083920,unknown,1108
MGYP000151770421,unknown,105
MGYP006099224503,unknown,1109
MGYP000973985631,unknown,1110
MGYP000285512558,unknown,421
MGYP003297518015,unknown,79
MGYP001475605799,unknown,79
MGYP002537552860,unknown,79
MGYP003853309785,unknown,79
MGYP003043018351,unknown,1111
MGYP001593344082,unknown,837
MGYP003687074803,unknown,1112
MGYP003987693929,unknown,1113
MGYP001569185709,unknown,1114
MGYP000748822405,unknown,1114
MGYP000355489091,unknown,1115
MGYP006357610739,unknown,1116
MGYP006441084311,unknown,1117
MGYP001074076089,unknown,1118
MGYP003998085093,unknown,1119
MGYP006430425919,unknown,1120
MGYP002511502503,unknown,1121
MGYP000845159952,unknown,1122
MGYP001229622688,unknown,1123
MGYP001596167971,unknown,1123
MGYP001416771023,unknown,1124
MGYP001135907773,unknown,1125
MGYP002721826158,unknown,1126
MGYP003253654226,unknown,1127
MGYP002596938626,unknown,397
MGYP000780619709,unknown,397
MGYP000812033545,unknown,397
MGYP003584722716,unknown,397
MGYP000798690383,unknown,397
MGYP001168433583,unknown,397
MGYP001751410336,unknown,397
MGYP001400952548,unknown,397
MGYP005719136139,unknown,397
MGYP001471096877,unknown,397
MGYP001302795644,unknown,397
MGYP001337625348,unknown,397
MGYP005818930487,unknown,397
MGYP001194900707,unknown,397
MGYP002640211854,unknown,397
MGYP003303848962,unknown,397
MGYP002617891421,unknown,1128
MGYP005883813975,unknown,1129
MGYP001025684994,unknown,1129
MGYP001261947531,unknown,1130
MGYP001054601622,unknown,1131
MGYP004731946897,unknown,1131
MGYP000594197717,unknown,1131
MGYP003175411503,unknown,1132
MGYP006375009419,unknown,1133
MGYP002766845076,unknown,1134
MGYP006218973539,unknown,1135
MGYP000204625843,unknown,1136
MGYP000215597934,unknown,1136
MGYP002841512365,unknown,1136
MGYP001608345097,root:Host-associated:Human:Digestive system:Large intestine:Fecal,1136
MGYP003988309001,unknown,1136
MGYP001110011834,unknown,1136
MGYP000883825203,unknown,1136
MGYP003317520868,unknown,1137
MGYP000315403365,unknown,1138
MGYP001090477597,unknown,1139
MGYP004460972667,unknown,1140
MGYP000951759548,unknown,1140
MGYP001073329804,unknown,1140
MGYP001174980730,unknown,1141
MGYP001429574425,unknown,1142
MGYP001355892598,unknown,1143
MGYP000917423080,unknown,1144
MGYP001597756988,unknown,1038
MGYP002563114465,unknown,1038
MGYP000304584556,unknown,1145
MGYP003984202225,unknown,1146
MGYP002973922539,unknown,1147
MGYP003054367316,unknown,1147
MGYP000823555111,unknown,1147
MGYP000203618512,unknown,1147
MGYP000522071759,unknown,821
MGYP001625513938,unknown,245
MGYP001535076276,unknown,246
MGYP002799432701,unknown,245
MGYP003588946482,unknown,1148
MGYP001397135236,unknown,1149
MGYP002863192951,unknown,1150
MGYP001171315194,unknown,1151
MGYP003267542739,unknown,1151
MGYP003411161396,unknown,1152
MGYP000943191760,unknown,1153
MGYP002780519316,unknown,1154
MGYP001213124021,unknown,1155
MGYP006157800543,unknown,1156
MGYP006135875793,unknown,1157
MGYP002756762988,unknown,1158
MGYP003581518512,unknown,1085
MGYP001565757714,unknown,1085
MGYP004601320157,unknown,1085
MGYP006340474949,unknown,1085
MGYP004462158015,unknown,1159
MGYP003073428497,unknown,1160
MGYP000764269125,unknown,1161
MGYP001421006852,unknown,1162
MGYP001827797405,unknown,1163
MGYP001614986683,unknown,112
MGYP002746998130,unknown,1164
MGYP005897976201,unknown,1165
MGYP006378122061,unknown,1166
MGYP001071241656,unknown,1167
MGYP001212556229,unknown,1168
MGYP001088484161,unknown,1169
MGYP000076930194,unknown,1169
MGYP002553503827,unknown,1169
MGYP001322185183,unknown,1170
MGYP001179517451,unknown,352
MGYP001419270966,unknown,352
MGYP003451882717,unknown,352
MGYP003973259485,unknown,1171
MGYP003811266507,unknown,352
MGYP001618369058,unknown,1172
MGYP000998941585,unknown,352
MGYP003458200041,unknown,352
MGYP000944669756,unknown,352
MGYP005984866981,unknown,1173
MGYP003954530595,unknown,636
MGYP003245219587,unknown,636
MGYP001054907920,unknown,1174
MGYP006275807931,unknown,1175
MGYP001157837079,unknown,1176
MGYP001781649022,unknown,1177
MGYP000080144096,unknown,1177
MGYP000091487390,unknown,1177
MGYP003594662941,unknown,1177
MGYP001525656373,unknown,1178
MGYP003598382299,unknown,1179
MGYP000923808735,unknown,1179
MGYP001121056556,unknown,1179
MGYP006234856329,unknown,1179
MGYP000838300531,unknown,1097
MGYP000632897209,unknown,1097
MGYP003389076345,unknown,1097
MGYP003519641510,unknown,1097
MGYP000928742405,unknown,1097
MGYP005638344017,unknown,1097
MGYP003140969908,unknown,1097
MGYP001147713614,unknown,1180
MGYP001072862022,unknown,1180
MGYP002490463384,unknown,1180
MGYP003246584656,unknown,1180
MGYP000995433096,unknown,1180
MGYP006292164791,unknown,673
MGYP001272105677,unknown,1181
MGYP003476301181,unknown,1182
MGYP001133182245,unknown,1183
MGYP005718254845,unknown,27
MGYP003402033763,unknown,27
MGYP003103506132,unknown,1184
MGYP000148849422,unknown,1184
MGYP004645873799,unknown,1184
MGYP000958705790,unknown,1185
MGYP006160820299,unknown,352
MGYP000216060532,unknown,352
MGYP001250221901,unknown,915
MGYP000962765206,unknown,915
MGYP001166158482,unknown,915
MGYP000812659760,unknown,915
MGYP003414123699,unknown,915
MGYP005945970097,unknown,1186
MGYP000774629573,unknown,1186
MGYP002709359009,unknown,1187
MGYP000817767433,unknown,1188
MGYP003465508702,unknown,1189
MGYP000992118412,unknown,1190
MGYP001300129702,unknown,1191
MGYP000800097402,unknown,1192
MGYP000689460195,unknown,1192
MGYP000767555174,unknown,1192
MGYP003322221951,unknown,1193
MGYP003420777952,unknown,1194
MGYP003150568269,unknown,1195
MGYP003603876948,unknown,1196
MGYP001822261251,unknown,1196
MGYP000688082507,unknown,1196
MGYP000406285440,unknown,1196
MGYP000858151996,unknown,1196
MGYP001425665363,unknown,1197
MGYP006108076755,unknown,1198
MGYP000744088399,unknown,688
MGYP000997538780,unknown,687
MGYP000811910869,unknown,1199
MGYP000766930140,unknown,1199
MGYP001633610060,unknown,1199
MGYP003593086151,unknown,1199
MGYP001468114759,unknown,1200
MGYP002635933381,unknown,344
MGYP000264050256,unknown,344
MGYP001102391306,unknown,344
MGYP000392639851,unknown,344
MGYP004533845135,unknown,344
MGYP001478280791,unknown,344
MGYP001445061478,unknown,675
MGYP001160542010,unknown,675
MGYP005819972667,unknown,1201
MGYP004580426877,unknown,1202
MGYP002611384106,unknown,1202
MGYP004689082731,unknown,1203
MGYP000004956664,unknown,135
MGYP002637618904,unknown,135
MGYP000875161514,unknown,135
MGYP001454521666,unknown,135
MGYP000990965057,unknown,135
MGYP001239398254,unknown,1204
MGYP000924744202,unknown,1205
MGYP000027395923,unknown,679
MGYP001298203970,unknown,679
MGYP005993570177,unknown,679
MGYP002636082949,unknown,679
MGYP006101001007,unknown,679
MGYP001828830817,unknown,679
MGYP003983509561,unknown,679
MGYP003395985174,unknown,1206
MGYP003285905119,unknown,495
MGYP001014982414,unknown,1207
MGYP000536547275,unknown,1207
MGYP002747063167,unknown,1208
MGYP001769098967,unknown,1209
MGYP000628021617,unknown,1210
MGYP006274515873,unknown,1210
MGYP001294676282,unknown,1211
MGYP000400247758,unknown,1212
MGYP001596632558,unknown,1213
MGYP002633134590,unknown,1214
MGYP003399270441,unknown,1215
MGYP006381890541,unknown,1216
MGYP002662022930,unknown,108
MGYP000422344411,unknown,108
MGYP000381187284,unknown,108
MGYP001047531666,unknown,108
MGYP001307333228,unknown,79
MGYP002681781524,unknown,79
MGYP001524375787,unknown,79
MGYP002958333162,unknown,1217
MGYP002608458393,unknown,1218
MGYP004629840941,unknown,1219
MGYP002621306666,unknown,1220
MGYP001302096364,unknown,1221
MGYP006227572433,unknown,1103
MGYP001480965510,unknown,1103
MGYP001221235496,unknown,1222
MGYP001411773135,unknown,1222
MGYP002623360282,unknown,1222
MGYP001749078448,unknown,1223
MGYP000616097600,unknown,1224
MGYP001516417311,unknown,1225
MGYP000819112713,unknown,1226
MGYP001137512956,unknown,679
MGYP001336002727,unknown,679
MGYP003345626467,unknown,679
MGYP001606050382,unknown,679
MGYP000266133040,root:Host-associated:Mammals:Digestive system:Large intestine:Fecal,679
MGYP002990081743,unknown,1227
MGYP006220763787,unknown,1228
MGYP000431072539,unknown,1229
MGYP003353181719,unknown,1230
MGYP001138732266,unknown,1231
MGYP006304867095,unknown,1231
MGYP001427896195,unknown,1231
MGYP004599471921,unknown,613
MGYP003010670039,unknown,1232
MGYP005870741979,unknown,1233
MGYP002611942968,unknown,1233
MGYP001294739445,unknown,1234
MGYP001185614401,unknown,1234
MGYP001113832518,unknown,1235
MGYP001348504286,unknown,1236
MGYP001411464726,unknown,1236
MGYP003480713464,unknown,1236
MGYP003575875978,unknown,1237
MGYP003611405739,unknown,1238
MGYP001221289922,unknown,1238
MGYP001363418987,unknown,1238
MGYP006137547961,unknown,1238
MGYP004509085457,unknown,141
MGYP000880807768,unknown,1239
MGYP000894559596,unknown,1240
MGYP003523856450,unknown,1241
MGYP000514636931,unknown,1242
MGYP000453760407,unknown,1243
MGYP000713538832,unknown,1244
MGYP001455730871,unknown,1245
MGYP001542018404,unknown,1246
MGYP003260507585,unknown,1246
MGYP001123374932,unknown,1097
MGYP006207730437,unknown,1097
MGYP001763656555,unknown,1097
MGYP000916782241,unknown,1097
MGYP003564703095,unknown,1097
MGYP005977427409,unknown,1097
MGYP000092704473,unknown,1097
MGYP001590502684,unknown,1247
MGYP000531196286,unknown,1248
MGYP002647666219,unknown,265
MGYP003514403920,unknown,1249
MGYP001175332389,unknown,1250
MGYP000966702483,unknown,1250
MGYP003479311019,unknown,1251
MGYP003591961198,unknown,1252
MGYP003485534438,unknown,1253
MGYP001144454667,unknown,1253
MGYP003373743123,unknown,1253
MGYP000302105109,unknown,1253
MGYP003309505513,unknown,1253
MGYP000666354458,unknown,1253
MGYP003420788460,unknown,17
MGYP004478882161,unknown,1254
MGYP001044610859,unknown,1255
MGYP001533370336,unknown,1256
MGYP003255249356,unknown,1257
MGYP001060222688,unknown,1258
MGYP002625827017,unknown,1259
